"Activity" "Subject" "Variable" "Average"
"LAYING" 1 "Activity" NA
"LAYING" 1 "Y" NA
"LAYING" 1 "Subject" NA
"LAYING" 1 "tBodyAcc-mean()-X" NA
"LAYING" 1 "tBodyAcc-mean()-Y" NA
"LAYING" 1 "tBodyAcc-mean()-Z" NA
"LAYING" 1 "tBodyAcc-std()-X" NA
"LAYING" 1 "tBodyAcc-std()-Y" NA
"LAYING" 1 "tBodyAcc-std()-Z" NA
"LAYING" 1 "tGravityAcc-mean()-X" NA
"LAYING" 1 "tGravityAcc-mean()-Y" NA
"LAYING" 1 "tGravityAcc-mean()-Z" NA
"LAYING" 1 "tGravityAcc-std()-X" NA
"LAYING" 1 "tGravityAcc-std()-Y" NA
"LAYING" 1 "tGravityAcc-std()-Z" NA
"LAYING" 1 "tBodyAccJerk-mean()-X" NA
"LAYING" 1 "tBodyAccJerk-mean()-Y" NA
"LAYING" 1 "tBodyAccJerk-mean()-Z" NA
"LAYING" 1 "tBodyAccJerk-std()-X" NA
"LAYING" 1 "tBodyAccJerk-std()-Y" NA
"LAYING" 1 "tBodyAccJerk-std()-Z" NA
"LAYING" 1 "tBodyGyro-mean()-X" NA
"LAYING" 1 "tBodyGyro-mean()-Y" NA
"LAYING" 1 "tBodyGyro-mean()-Z" NA
"LAYING" 1 "tBodyGyro-std()-X" NA
"LAYING" 1 "tBodyGyro-std()-Y" NA
"LAYING" 1 "tBodyGyro-std()-Z" NA
"LAYING" 1 "tBodyGyroJerk-mean()-X" NA
"LAYING" 1 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 1 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 1 "tBodyGyroJerk-std()-X" NA
"LAYING" 1 "tBodyGyroJerk-std()-Y" NA
"LAYING" 1 "tBodyGyroJerk-std()-Z" NA
"LAYING" 1 "tBodyAccMag-mean()" NA
"LAYING" 1 "tBodyAccMag-std()" NA
"LAYING" 1 "tGravityAccMag-mean()" NA
"LAYING" 1 "tGravityAccMag-std()" NA
"LAYING" 1 "tBodyAccJerkMag-mean()" NA
"LAYING" 1 "tBodyAccJerkMag-std()" NA
"LAYING" 1 "tBodyGyroMag-mean()" NA
"LAYING" 1 "tBodyGyroMag-std()" NA
"LAYING" 1 "tBodyGyroJerkMag-mean()" NA
"LAYING" 1 "tBodyGyroJerkMag-std()" NA
"LAYING" 1 "fBodyAcc-mean()-X" NA
"LAYING" 1 "fBodyAcc-mean()-Y" NA
"LAYING" 1 "fBodyAcc-mean()-Z" NA
"LAYING" 1 "fBodyAcc-std()-X" NA
"LAYING" 1 "fBodyAcc-std()-Y" NA
"LAYING" 1 "fBodyAcc-std()-Z" NA
"LAYING" 1 "fBodyAcc-meanFreq()-X" NA
"LAYING" 1 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 1 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 1 "fBodyAccJerk-mean()-X" NA
"LAYING" 1 "fBodyAccJerk-mean()-Y" NA
"LAYING" 1 "fBodyAccJerk-mean()-Z" NA
"LAYING" 1 "fBodyAccJerk-std()-X" NA
"LAYING" 1 "fBodyAccJerk-std()-Y" NA
"LAYING" 1 "fBodyAccJerk-std()-Z" NA
"LAYING" 1 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 1 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 1 "fBodyAccJerk-meanFreq()-Z" NA
